_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Cluster,anomaly_score,Model_Result,Final_Result
221,54,220,1751426920901,162,1751434146280.0,7225379.0,True,-1,1,0,0,0,0,1,137.0,0,312,312,216,170,1751434120901.0,444,1,106293,14,False,0,168,24,26,False,106161.0,0,3,6.876704505327459,Anomaly,Anomaly
350,55,349,1751717760629,-1,,7200000.0,True,-1,1,0,0,0,0,1,137.0,0,277,277,5,287,1751724960629.0,114,1,104807,28,False,0,131,54,41,False,105974.0,0,1,7.624151734707699,Anomaly,Anomaly
388,38,387,1751959757793,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,189,1,117896,44,False,0,413,-1,65,False,117685.0,0,2,4.444333964314137,Anomaly,Anomaly
235,42,234,1751440519550,255,1751708701931.0,268182381.0,True,-1,0,0,0,2,0,3,138.0,0,11,11,389,182,1751447719550.0,194,1,77800,16,False,0,261,28,29,False,78967.0,0,3,3.819349926621866,Anomaly,Anomaly
238,26,237,1751440898325,175,1751441457699.0,559374.0,True,-1,0,0,0,2,2,2,115.0,0,337,337,268,185,1751448098325.0,168,1,106897,7,True,0,198,10,13,False,106765.0,0,3,5.841731789298224,Anomaly,Anomaly
392,38,391,1751961829651,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,265,1,117896,44,False,0,413,-1,65,False,117685.0,0,2,4.466073216969615,Anomaly,Anomaly
489,16,488,1755169404002,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,45,1,108525,37,False,0,413,-1,63,False,108389.0,0,2,6.621432562591193,Anomaly,Anomaly
254,54,253,1751460068213,191,1751460251582.0,183369.0,True,-1,1,0,0,0,0,1,137.0,0,300,300,98,201,1751467268213.0,446,1,106293,14,True,0,172,24,26,False,106161.0,0,3,6.995694635889457,Anomaly,Anomaly
255,54,254,1751460266846,192,1751460563431.0,296585.0,True,-1,1,0,0,0,0,1,137.0,0,163,163,78,202,1751467466846.0,469,1,3612,33,True,0,388,61,51,False,4779.0,0,1,6.864868588418746,Anomaly,Anomaly
256,54,255,1751460581598,193,1751460619960.0,38362.0,True,-1,1,0,0,0,0,1,137.0,0,322,322,332,203,1751467781598.0,440,1,106293,14,True,0,173,24,26,False,106161.0,0,3,7.030424094320197,Anomaly,Anomaly
257,54,256,1751460634755,194,1751460774964.0,140209.0,True,-1,1,0,0,0,0,1,137.0,0,291,291,8,204,1751467834755.0,441,1,106293,14,True,0,174,24,26,False,106161.0,0,3,7.101208547720124,Anomaly,Anomaly
258,54,257,1751460787691,195,1751460801145.0,13454.0,True,-1,1,0,0,0,0,1,137.0,0,171,171,343,205,1751467987691.0,468,1,3612,33,True,0,389,61,51,False,4779.0,0,1,6.916107271279864,Anomaly,Anomaly
259,54,258,1751460834746,196,1751482355789.0,21521043.0,True,-1,1,0,0,0,0,1,137.0,0,162,162,49,206,1751468034746.0,467,1,3612,33,False,0,390,61,51,False,4779.0,0,1,6.8869088592943655,Anomaly,Anomaly
260,54,259,1751482355789,200,1751599142592.0,116786803.0,True,-1,1,0,0,0,0,1,137.0,0,167,167,320,207,1751489555789.0,473,1,3612,33,False,0,391,61,51,False,4779.0,0,1,6.906909782190248,Anomaly,Anomaly
267,123,266,1751606904289,212,1751616796509.0,9892220.0,True,-1,1,0,0,0,0,1,138.0,0,172,172,349,214,1751614104289.0,472,1,3612,33,False,0,393,61,51,False,4779.0,0,1,7.107288822287166,Anomaly,Anomaly
188,57,187,1751350835929,289,1751871418999.0,520583070.0,True,-1,0,0,0,2,0,0,138.0,0,35,35,325,139,1751358035929.0,272,1,85116,11,False,0,367,21,19,False,86283.0,0,3,4.769567833738316,Anomaly,Anomaly
496,12,495,1756452319504,-1,,,False,1,0,0,0,2,0,2,142.0,0,-1,-1,-1,-1,,137,1,33109,5,False,0,413,-1,9,False,34276.0,0,2,4.252030450269281,Anomaly,Anomaly
321,56,320,1751707388010,-1,,,False,1,1,0,0,0,0,1,137.0,0,-1,-1,-1,-1,,113,1,999999,22,False,0,413,-1,30,False,999999.0,0,2,9.04617794065901,Anomaly,Anomaly
